gene,avg_fpkm,class
Seita.2G039800,3.87960227778,1
Seita.2G040600,1.70865955556,1
Seita.2G041600,1.24961913333,1
Seita.2G042800,42.1230247222,1
Seita.2G045800,73.8426166667,1
Seita.2G048100,5.50759361111,1
Seita.2G048800,1.35837263889,1
Seita.2G049000,2.78594777778,1
Seita.2G052100,1.52124219444,1
Seita.2G052900,4.22542441667,1
Seita.2G053300,35.7462988889,1
Seita.2G053700,54.7006166667,1
Seita.2G053800,19.6257544444,1
Seita.2G056500,25.8088777778,1
Seita.2G057200,11.0773502778,1
Seita.2G058300,79.6826583333,1
Seita.2G058900,44.4255166667,1
Seita.2G062800,1.4956865,1
Seita.2G065100,30.4915277778,1
Seita.2G075500,2.47017633889,1
Seita.2G077400,20.7788344444,1
Seita.2G080500,1.45064263889,1
Seita.2G082000,2.70427213889,1
Seita.2G085800,16.7015283333,1
Seita.2G086600,34.0659522222,1
Seita.2G087100,3.02743402778,1
Seita.2G089100,7.31508166667,1
Seita.2G090200,3.22895191667,1
Seita.2G092400,4.44478716667,1
Seita.2G093000,6.87088916667,1
Seita.2G097500,1.81870952778,1
Seita.2G097600,1.36930223333,1
Seita.2G097700,78.8600666667,1
Seita.2G097800,2.21247463889,1
Seita.2G102400,2.63474347222,1
Seita.2G103300,10.6631930556,1
Seita.2G104100,1.90977613889,1
Seita.2G104400,2.00561341667,1
Seita.2G104900,34.2790501944,1
Seita.2G104900,34.2790501944,1
Seita.2G106700,13.7097276111,1
Seita.2G106800,27.7918763889,1
Seita.2G106900,2.01120880556,1
Seita.2G107000,2.35048302778,1
Seita.2G107100,2.45383080556,1
Seita.2G109700,3.99215722222,1
Seita.2G110300,4.45429230556,1
Seita.2G111400,3.13267211111,1
Seita.2G112100,6.14439861111,1
Seita.2G112500,54.0868805556,1
Seita.2G117400,1.13069755556,1
Seita.2G122700,21.9526658333,1
Seita.2G124600,1.83443366667,1
Seita.2G128600,2.91920175,1
Seita.2G128900,63.7846316667,1
Seita.2G134000,1.25757252778,1
Seita.2G137400,102.893986111,1
Seita.2G138400,1.83152288889,1
Seita.2G139400,9.66195027778,1
Seita.2G139500,7.84035555556,1
Seita.2G140600,2.14079072222,1
Seita.2G141400,5.72902944444,1
Seita.2G143400,4.37085444444,1
Seita.2G143500,12.4717797222,1
Seita.2G145700,6.82153947222,1
Seita.2G145800,13.961444,1
Seita.2G145900,23.9366453889,1
Seita.2G147200,15.9840027778,1
Seita.2G157500,73.1877,1
Seita.2G162400,14.459835,1
Seita.2G165200,2.06836927778,1
Seita.2G165400,4.10714174722,1
Seita.2G166200,3.99377888889,1
Seita.2G169700,19.1356536111,1
Seita.2G170600,17.1595472222,1
Seita.2G171400,6.85295438889,1
Seita.2G173300,9.70814694444,1
Seita.2G177500,2.91046097222,1
Seita.2G179500,7.27056294444,1
Seita.2G179800,8.12066055556,1
Seita.2G182000,10.1421902778,1
Seita.2G183700,1.00840088889,1
Seita.2G184500,10.257495,1
Seita.2G184700,1.52480802778,1
Seita.2G186900,2.30472380556,1
Seita.2G187000,2.269958425,1
Seita.2G190600,4.30272419444,1
Seita.2G192200,8.99775722222,1
Seita.2G195000,2.231986,1
Seita.2G195800,2.44531583333,1
Seita.2G197500,21.6142947222,1
Seita.2G198100,12.1631942778,1
Seita.2G199400,2.10381236111,1
Seita.2G199500,1.19274291667,1
Seita.2G199600,24.4172094444,1
Seita.2G200900,1.70498038889,1
Seita.2G201600,7.47297138889,1
Seita.2G203100,8.64324888889,1
Seita.2G204600,1.03430647222,1
Seita.2G206000,18.2800430556,1
Seita.2G206100,2.26241458333,1
Seita.2G207100,2.27719788889,1
Seita.2G207900,4.25482305556,1
Seita.2G208300,2.1388505,1
Seita.2G208700,3.29248052778,1
Seita.2G209000,4.51000294444,1
Seita.2G209800,43.1252833333,1
Seita.2G210800,11.88719,1
Seita.2G211100,200.94355,1
Seita.2G213500,5.93799305556,1
Seita.2G213700,1.92094641667,1
Seita.2G214700,37.5856527778,1
Seita.2G216300,7.30887638889,1
Seita.2G216900,29.6033394444,1
Seita.2G217100,21.0790166667,1
Seita.2G217200,1.47635808333,1
Seita.2G217500,104.643736111,1
Seita.2G218600,3.76934805556,1
Seita.2G220600,204.698605556,1
